PSFType,Param1Name,Param1Value,Param2Name,Param2Value,NSR,LapVar,Tenengrad,HighFreqRatio,Mean,Std,Entropy,SaturationRatio,ClipRatio,LapGain,TenengradGain,HighFreqGain,NoiseGain,Score
motion,LEN,5,THETA,70,0.1,0.0104504608328903,0.161283323390616,0.00522786627244333,0.44565125704662,0.142110090596069,7.10272563078312,0.000545267489711934,0.000164609053497942,1.25456622267971,1.30130953615033,1.51239621909596,1.14440805188923,0.636706503620031
motion,LEN,7,THETA,15,0.1,0.0100077409524109,0.162450206334539,0.00499561704178591,0.445587545291056,0.143985543783988,7.13230971675981,0.00154320987654321,0.00065843621399177,1.20141819245983,1.31072449530777,1.44520764922268,1.12173261044868,0.628300222013423
motion,LEN,5,THETA,75,0.1,0.0105115068433046,0.162222367477913,0.00534081152641923,0.445651578589819,0.142133655622725,7.10237666120132,0.00058641975308642,0.000154320987654321,1.26189472846715,1.30888618449795,1.54507073029729,1.15272002061209,0.626651242404277
motion,LEN,5,THETA,85,0.1,0.0107024194845452,0.16068965266745,0.00538848909241864,0.44564952122148,0.141913128963733,7.10301775197535,0.000576131687242798,0.000216049382716049,1.28481357912961,1.29651952217277,1.5588636176428,1.15745699901918,0.624304244830955
motion,LEN,7,THETA,20,0.1,0.00985436707485505,0.15910193645131,0.00480737736478721,0.445590371488097,0.143636976556231,7.13075682829414,0.00117283950617284,0.000596707818930041,1.18300582870861,1.28370908269689,1.39075082861169,1.10867820278651,0.623460243697229
motion,LEN,5,THETA,65,0.1,0.00995746866272971,0.158660443530497,0.00492944167603241,0.445651204602984,0.141897127979671,7.10061792660425,0.000462962962962963,0.000185185185185185,1.19538305988727,1.28014691063894,1.42606343861224,1.1181472053147,0.615789665116376
motion,LEN,5,THETA,-85,0.1,0.0106453785490383,0.161274582635017,0.00541833838848368,0.445646639119453,0.141929983959612,7.102965695205,0.000730452674897119,0.000195473251028807,1.27796587813907,1.30123901163252,1.56749887343528,1.15703063130795,0.615750268502756
motion,LEN,5,THETA,-90,0.1,0.0116301435671494,0.160696341854622,0.00565849765760911,0.445648743009252,0.141976366013242,7.10438066411383,0.000720164609053498,0.000205761316872428,1.39618582544613,1.29657349367381,1.63697577886431,1.18489492350826,0.615695933208234
motion,LEN,5,THETA,90,0.1,0.0116301435671494,0.160696341854622,0.00565849765760911,0.445648743009252,0.141976366013242,7.10438066411383,0.000720164609053498,0.000205761316872428,1.39618582544613,1.29657349367381,1.63697577886431,1.18489492350826,0.615695933208234
motion,LEN,7,THETA,30,0.1,0.00961142348902335,0.157004153651117,0.00450357732715023,0.4456054798897,0.143537450516899,7.12713295440714,0.00088477366255144,0.000452674897119342,1.15384072090381,1.26678318666949,1.30286295919444,1.09058367473282,0.608425786564356
motion,LEN,33,THETA,-90,0.03,0.00933744031733162,0.239706479189559,0.0045795504545914,0.474895000837655,0.172129973535472,7.42326659863047,0.0122325102880658,0.00919753086419753,1.12094934527133,1.93406435760824,1.32484161448265,1.1480357986597,0.605104629327874
